Collezione 1,Collezione 2,Collezione 3
8898.43,8413.72,8431.4
8829.08,8400.12,8398.46
8856.51,8365.38,8373.72
8864.7,8288.95,8308.44
8907.46,8336.34,8357.55
8975.45,8359.59,8381.13
8988.81,8406.66,8434.7
9299.3,8431.99,8476.64
9096.22,8476.83,8515.67
9153.82,8527.6,8560.75
9225.59,8528.38,8562.11
9284.76,8565.86,8606.55
9385.91,8554,8588.22
9464.77,8553.85,8581.76
9555.36,8523.17,8548.21
9618.27,8494.13,8519.88
9728.05,8476.46,8497.87
9869.25,8485.14,8503.7
9905.45,8442.11,8456.02
9984.72,8410.02,8421.23
10060.3,8381.23,8387.23
10177.1,8358.59,8367.68
10201.8,8337.84,8337.86
10259.7,8326.07,8310.04
10264.6,8310.24,8296.16
10277.3,8300.58,8299.13
10272.7,8282.16,8274.27
10290.4,8292.5,8265.76
10266.8,8260.22,8238.36
10255.1,8233.09,8226.68
10216.3,8215.55,8200.52
10201.7,8192.8,8164.76
10155.3,8183.52,8164.09
10131.4,8157.87,8152.58
10068.6,8174.38,8162.45
10007.8,8175.92,8153.3
9928.25,8194.77,8177.8
9822.09,8100.75,8081.46
9799.76,8227.29,8208.92
9697.21,8304.51,8296.69
9755.2,8419.75,8401.14
9880.53,8464.53,8437.62
9857.28,8603.93,8570.19
9714.53,8864.58,8828.71
9818.15,8839.23,8794.23
9895.67,8821.55,8760.25
10007.8,8781.11,8682.99
10205,8651.76,8584.09
10230.1,8693.77,8617.89
10403.2,8695.85,8605.56
10293.3,8763.16,8673.01
10266.2,8828.6,8725.27
10074.1,8883.98,8796.31
9898.36,8978.93,8871.66
9732.29,9011.01,8913.72
9528.29,9037.67,8962.32
9455.62,9083.57,9006.51
9260.72,9156.34,9077.07
9327.82,9172.77,9091.15
9376.23,9189.78,9114.11
9419.95,9202.2,9117.21
9383.45,9186.57,9084.91
9487.31,9223.81,9120.27
9559.09,9240.49,9127.23
9675.58,9295.56,9187.64
9773.81,9336.55,9234.61
9894.22,9402.75,9301.67
9971.24,9438.3,9336.3
10138.8,9534.93,9436.44
10279.2,9614.91,9529.93
10445.8,9722.52,9638.17
10598.2,9818.56,9738.17
10769.1,9914.72,9834.26
10964.5,10011,9927.36
11047.7,10078.9,9998.55
11124,10127.8,10052.8
11178.5,10183.8,10111.7
11285.1,10256.2,10187.2
11267.4,10273.2,10207.9
11222.5,10254.5,10200.4
11191.1,10293,10236.7
11219.3,10310.3,10255.6
11167.8,10340.5,10286.9
11170.3,10392.2,10343.9
11089.9,10389.7,10337.9
11066.7,10395.4,10338.2
10959.9,10384.1,10325
11346.3,10376.6,10317.9
10835.4,10361.6,10302
10790.8,10355.7,10288.3
10669.9,10346.6,10280.9
10628.5,10325.2,10261.7
10480.2,10334.6,10272.6
10374.2,10348.4,10279.3
10271.8,10355,10290.7
10171,10364.9,10307.5
10080.6,10365.3,10309.6
9979.85,10348.9,10294.1
9887.68,10368.9,10317.4
9775.56,10375.8,10333.4
9725.61,10403.2,10358.9
9641.56,10425.9,10376.1
9632.72,10439.5,10394.9
9613.85,10440.1,10406
9619.35,10459.6,10425.4
9633.86,10482.9,10443
9628.07,10494.5,10460.9
9605.78,10499.3,10477.2
9611.31,10512.2,10489.4
9625.68,10523.7,10495.3
9633.07,10528.7,10506.4
9614.65,10540.4,10523.7
9641.56,10535.7,10520.6
9661.12,10531.9,10518.3
9692.65,10537.4,10523.7
9722.49,10533.5,10528.7
9748.23,10536.6,10527.9
9760.72,10556,10538.8
9805.8,10547.6,10532.1
9852.61,10551.6,10545.2
9886.81,10533.1,10521.2
9994.94,10651.7,10629.2
9965.1,10508.3,10482.9
9855.19,10409.2,10402.6
9901.63,10291.2,10283.8
9989.63,10180.5,10166.9
10004.6,10113.5,10106.5
10073.2,10050.3,10043
10052,10007.7,10013.1
10162.5,9906.22,9928.75
10067.6,9903.68,9914.02
9960.56,9919.42,9926.81
9894.89,9899.44,9935
9792.57,9944.73,9993.17
9780.04,9876.51,9932.16
9660.14,9866.76,9916.08
9755.3,9776.48,9831.97
9802.92,9683.91,9726.85
9937.27,9634.32,9688.6
10136.1,9619.63,9684.61
10236.9,9565.07,9630.57
10361,9608.76,9668.63
10437.6,9470.98,9536.78
10605.9,9387.37,9453.69
10603.6,9229.18,9306.61
10621.2,9066.23,9150.25
10602.7,8970.53,9052.93
10607.9,8839.93,8913.21
10570.5,8803.45,8878.13
10528,8738.05,8813.67
10511.6,8733.07,8804.11
10528.3,8698.1,8771.57
10470.9,8732.96,8793.57
10444.4,8772.32,8815.43
10370.8,8782.31,8824.98
10323.1,8799.84,8843.29
10236.1,8790.54,8829.54
10196.3,8821.15,8852.42
10080.7,8777.74,8806.25
9959.43,8753.06,8787.45
9853.35,8701.48,8733.11
9768.63,8651.49,8677.65
9659.09,8616.1,8642.15
9585.92,8568.54,8598.55
9444.88,8561.24,8585.39
9321.92,8565.28,8583.35
9230.91,8550.17,8565.64
9130.28,8531.55,8545.66
9088.3,8523.84,8532.62
9060.7,8536.71,8543.1
9029.62,8506.24,8512.41
8992.08,8491.72,8495.26
8955.98,8462.83,8465.2
8923.76,8435.46,8433.39
8938.78,8426.67,8422.78
8925.12,8401.23,8397.39
8962.39,8416.63,8409.27
9028.72,8400.97,8389.43
9010.35,8433.03,8420.54
9062.47,8471.76,8458.19
9109.84,8480.59,8466.09
9201.07,8526.09,8509.05
9198.46,8498.33,8483.43
9247.38,8478.06,8462.16
9328.09,8450.94,8437.07
9370.39,8421.71,8412.07
9474.54,8412.9,8401.86
9655.4,8438.44,8420.59
9631.99,8394.91,8382
9720.69,8361.34,8348.88
9859.34,8333.25,8327.83
10026.7,8289.34,8284.05
10141.8,8287.16,8292.34
10311.3,8284.84,8297.44
10358.3,8272.77,8290.91
10397.8,8276.5,8294.38
10426.3,8255.58,8283.52
10501.5,8251.35,8285.23
10475.8,8225.55,8263.67
10448.6,8211.18,8249.12
10424,8189.85,8233.53
10410.4,8158.89,8209.77
10375.3,8158.47,8209.18
10380.7,8122.5,8177.71
10328.1,8143.93,8193.7
10302.9,8166.9,8217.77
10227.1,8171.34,8213.73
10171.9,8187.82,8224.71
10093.1,8178.13,8211.34
10033.3,8136.57,8169.86
9941.35,8172.33,8193.51
9785.69,8170.4,8182.39
9769.51,8227.81,8230.26
9761.59,8200.57,8206.83
9707.88,8303.08,8302.69
9587.09,8448.81,8434.75
9662.19,8457.07,8434.76
9692.47,8466.46,8444.06
9788.19,8476.23,8459.72
9911.84,8450.5,8446.88
9975.13,8500.36,8492.14
10084.2,8495.13,8483.81
10114.6,8576.57,8539.51
10302.8,8664.75,8622.36
10162.8,8685.23,8671.6
10039.4,8718.66,8715.45
9928.57,8760.35,8752.01
9826.63,8777.63,8762.2
9718.23,8829.21,8818.86
9589.05,8856.33,8883.37
9548.91,8938.02,8887.11
9496.54,9030.31,8958.11
9484.48,9106.08,9038.98
9427.4,9200.31,9135.74
9461.02,9251.2,9181.5
9524.42,9336.05,9254.88
9511.09,9352.23,9272.21
9470.32,9375.26,9294.99
9486.95,9382.64,9306.36
9456.98,9379.55,9319.21
9516.16,9398.43,9330.14
9480.32,9366.36,9289.36
9619.37,9435,9352.37
9762.46,9476.43,9385.53
9885.52,9571.51,9478.07
9962.65,9644.57,9553.63
10135.3,9752.44,9657.26
10285.3,9861.16,9762.96
10470.9,9947.56,9847.17
10642.8,10011.8,9914.08
10800.7,10092.6,9991.48
10932.3,10186,10081.4
11003.6,10225.6,10121.4
11114.8,10265.2,10160.5
11131.3,10289.4,10185.6
11146.9,10301.5,10195.3
11160.6,10324.9,10221.8
11206.9,10356.4,10257
11164.1,10366.1,10266.6
11139.7,10375.6,10272.6
11106.2,10368.3,10271.3
11137.6,10395,10297.4
11048.9,10355,10266.7
11073.3,10318.9,10228.9
10916.5,10301.7,10227.3
10859.5,10285.9,10224.4
10769.5,10263.2,10214.2
10845.1,10242.9,10198.9
10647.7,10248.2,10212.5
10572.3,10264.7,10230.3
10472.3,10256.1,10228.8
10370.7,10254.5,10238
10297,10241.4,10225.4
10226.9,10230.9,10215.2
10160.4,10214.9,10205.7
10086.8,10195.7,10195.1
10035.9,10201.4,10192
9938.49,10164.4,10146.9
9901.17,10202.9,10192.1
9864.55,10226.3,10219.5
9832.18,10280.4,10266.7
9783.17,10326.6,10300.6
9766.29,10358.9,10340.2
9744.79,10394.5,10379.6
9744.84,10416.4,10397
9758.9,10421,10395.1
9746.53,10450.9,10425.9
9711.74,10460.7,10444.9
9723.59,10498.9,10476.6
9738.71,10533.7,10498.9
9750.83,10562.8,10536.4
9756.23,10585.8,10576.5
9772.79,10590.8,10575.7
9766.9,10629.4,10601.1
9809.57,10611.2,10592.4
9830.78,10616.2,10610
9893.83,10590.5,10585.4
10035.8,10560.5,10577.6
10022.3,10557.1,10549.5
9969.34,10577.8,10545.6
9978.55,10549.9,10512.8
9944.96,10654.4,10604.9
9995.49,10512.3,10472.3
10112.5,10360.4,10311.7
10101.2,10299.3,10258.2
10134.4,10238.1,10205.5
10079.3,10206.6,10177.7
10045.8,10195.4,10164.5
9991.2,10164.8,10141.8
9928.21,10161.4,10125.8
9891.55,10100.2,10078.5
9811.09,10091.2,10073.5
9832.13,10012.7,10003.4
9761.79,9951.91,9932.05
9876.96,9882.51,9890.46
